French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,demand
genre,kind
mois,month
frère,brother
laisser,leave
car,because
mettre,put
ville,city
chaque,each
parlé,spoke
arrivé,arrived
bébé,baby
longtemps,long time
heures,hours
vont,go
pendant,while
revoir,see again
aimerais,would like
trouve,find
donne,give
train,train
yeux,eyes
passer,spend
façon,way
espère,hope
côté,side
yeux,eyes
faire,to do
grand,big
maison,house
temps,time
jour,day
monde,world
chose,thing
homme,man
femme,woman
enfant,child
travail,work
vie,life
nuit,night
matin,morning
eau,water
ami,friend
amour,love
porte,door
rue,street
